masked ratio,Accuracy,F1-Score,Recall,Precision,AUC
0.0,0.944,0.9178770032145288,0.94625,0.8959978702635549,0.977275
0.1,0.944,0.9184149184149184,0.95,0.8947368421052632,0.977925
0.2,0.944,0.9178770032145288,0.94625,0.8959978702635549,0.9787500000000001
0.3,0.942,0.9152240132367472,0.945,0.89259798407552,0.977725
0.4,0.94,0.9114229024943311,0.93625,0.8917474856321839,0.9755
0.5,0.944,0.9173280423280423,0.9424999999999999,0.8973599137931034,0.9787750000000001
0.6,0.938,0.9081617538142497,0.93125,0.8896103896103896,0.976875
0.7,0.934,0.9001929602767982,0.9137500000000001,0.8883244562284427,0.973725
0.8,0.918,0.8713919158840394,0.87,0.8728053603365324,0.972275
